Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,SI3_AGG - AGRA - Raw materials,South and Central America and the Caribbean,,,68,37,32,37,29,39,50,72,97,114,447,494,1342,112,74,49,56,59,
Africa,SI3_AGG - AGRA - Raw materials,United States of America,,,195,114,129,163,201,246,230,271,301,197,295,454,503,573,358,296,307,326,
Africa,SI3_AGG - MA - Manufactures,World,,,35672,35769,38792,46512,56603,63849,70632,80250,98736,75595,93015,105070,104724,109194,116532,101661,102899,107376,
Africa,SI3_AGG - MA - Manufactures,Africa,,,5784,6189,7752,8186,10290,11898,13753,17115,22868,22029,26210,28098,30876,34875,33503,34205,30609,30430,
Africa,SI3_AGG - MA - Manufactures,Asia,,,3398,3177,3751,5957,6770,8492,9571,8802,12764,8831,11036,12558,11489,11125,13747,9832,11764,12825,
Africa,SI3_AGG - MA - Manufactures,Australia and New Zealand,,,471,454,526,807,1186,1524,1458,1420,1614,744,1206,1626,1760,1516,1718,950,1080,1252,
Africa,SI3_AGG - MA - Manufactures,Brazil,,,203,294,239,326,462,478,536,873,1607,686,1262,1836,1865,1884,1455,991,920,1003,
Africa,SI3_AGG - MA - Manufactures,China,,,207,259,396,561,657,697,782,1408,1473,2073,2085,2311,2269,2444,2377,1430,2033,1972,
Africa,SI3_AGG - MA - Manufactures,"Commonwealth of Independent States (CIS), including associate and former member States",,,72,74,64,89,97,89,97,183,219,160,195,344,444,406,368,223,247,282,
Africa,SI3_AGG - MA - Manufactures,Europe,,,21002,20791,21355,25504,30629,33323,36224,41302,45306,32317,39488,45309,43056,43880,48987,40509,42689,45582,
Africa,SI3_AGG - MA - Manufactures,Four East Asian traders,,,883,813,890,1761,1508,1629,1707,1419,2248,1763,2244,2123,2208,2271,3187,2107,2849,3135,
